appid,precio,fecha,reseñas
1014470,7.99,"Feb 5, 2019",0
1014480,0.0,"Jun 24, 2019",0
1014480,0.0,"Jun 24, 2019",0
1014480,0.0,"Jun 24, 2019",0
1014560,5.99,"Feb 15, 2019",0
1014560,4.91,"Feb 15, 2019",0
1014560,5.99,"Feb 15, 2019",0
1014580,9.99,"Aug 7, 2020",0
1014580,7.8,"Aug 7, 2020",0
1014580,9.99,"Aug 7, 2020",0
1014590,0.99,"Feb 6, 2019",0
1014590,0.57,"Feb 6, 2019",0
1014590,0.99,"Feb 6, 2019",0
1014660,3.99,"Feb 1, 2019",0
1014660,2.67,"Feb 1, 2019",0
1014660,3.99,"Feb 1, 2019",0
1014710,19.99,"Feb 7, 2019",0
1014710,10.44,"Feb 7, 2019",0
1014710,19.99,"Feb 7, 2019",0
1014730,7.99,"May 16, 2019",207
1014730,5.63,"May 16, 2019",207
1014730,7.99,"May 16, 2019",207
1014750,4.99,"Nov 15, 2019",0
1014750,3.2,"Nov 15, 2019",0
1014750,4.99,"Nov 15, 2019",0
1014790,9.99,"Jun 3, 2019",0
1014790,8.49,"Jun 3, 2019",0
1014790,9.99,"Jun 3, 2019",0
1014810,4.99,"May 16, 2019",121
1014810,3.59,"May 16, 2019",121
1014810,4.99,"May 16, 2019",121
1014840,0.99,"Jan 29, 2019",0
1014840,0.86,"Jan 29, 2019",0
1014840,0.99,"Jan 29, 2019",0
1014850,4.99,"Aug 27, 2020",0
1014850,4.05,"Aug 27, 2020",0
1014850,4.99,"Aug 27, 2020",0
1014900,7.99,"Feb 15, 2019",0
1014900,6.66,"Feb 15, 2019",0
1014900,7.99,"Feb 15, 2019",0
1014940,0.0,"Jun 12, 2020",0
1014940,0.0,"Jun 12, 2020",0
1014940,0.0,"Jun 12, 2020",0
1015020,1.99,"Aug 14, 2019",162
1015020,1.79,"Aug 14, 2019",162
1015020,1.99,"Aug 14, 2019",162
1015080,3.99,"May 24, 2019",0
1015080,3.59,"May 24, 2019",0
1015080,3.99,"May 24, 2019",0
1015090,11.99,"Sep 6, 2019",162
1015090,8.1,"Sep 6, 2019",162
1015090,11.99,"Sep 6, 2019",162
1015100,6.99,"May 1, 2019",0
1015100,3.93,"May 1, 2019",0
1015100,6.99,"May 1, 2019",0
1015120,34.99,"Apr 30, 2019",0
1015120,28.87,"Apr 30, 2019",0
1015120,34.99,"Apr 30, 2019",0
1015130,9.99,"Feb 28, 2019",217
1015130,7.04,"Feb 28, 2019",217
1015130,9.99,"Feb 28, 2019",217
1015140,9.99,"Oct 21, 2020",866
1015140,7.31,"Oct 21, 2020",866
1015140,9.99,"Oct 21, 2020",866
1015180,0.49,"Feb 6, 2021",0
1015180,0.25,"Feb 6, 2021",0
1015180,0.49,"Feb 6, 2021",0
1015190,0.0,"Aug 26, 2022",0
1015190,0.0,"Aug 26, 2022",0
1015190,0.0,"Aug 26, 2022",0
1015290,4.99,"Dec 2, 2019",0
1015290,3.19,"Dec 2, 2019",0
1015290,4.99,"Dec 2, 2019",0
1015350,0.99,"Feb 27, 2019",0
1015350,0.83,"Feb 27, 2019",0
