steamid,game
76561197963534359,Day of Defeat: Source
76561197963534359,Half-Life 2: Deathmatch
76561198158932704,10
76561198158932704,Team Fortress Classic
76561198158932704,Day of Defeat
76561198158932704,Deathmatch Classic
76561198158932704,Half-Life: Opposing Force
76561198158932704,Ricochet
76561198158932704,Half-Life
76561198158932704,Counter-Strike: Condition Zero
76561198158932704,Counter-Strike: Condition Zero Deleted Scenes
76561198158932704,Half-Life: Blue Shift
76561198158932704,Half-Life 2
76561198158932704,Counter-Strike: Source
76561198158932704,Half-Life: Source
76561198158932704,Day of Defeat: Source
76561198158932704,Half-Life 2: Deathmatch
76561198082995144,10
76561198082995144,Team Fortress Classic
76561198082995144,Day of Defeat
76561198082995144,Deathmatch Classic
76561198082995144,Half-Life: Opposing Force
76561198082995144,Ricochet
76561198082995144,Half-Life
76561198082995144,Counter-Strike: Condition Zero
76561198082995144,Counter-Strike: Condition Zero Deleted Scenes
76561198082995144,Half-Life: Blue Shift
76561198082995144,Half-Life 2
76561198082995144,Counter-Strike: Source
76561198082995144,Half-Life: Source
76561198082995144,Day of Defeat: Source
76561198082995144,Half-Life 2: Deathmatch
76561198077248235,10
76561198077248235,Team Fortress Classic
76561198077248235,Day of Defeat
76561198077248235,Deathmatch Classic
76561198077248235,Half-Life: Opposing Force
76561198077248235,Ricochet
76561198077248235,Half-Life
76561198077248235,Counter-Strike: Condition Zero
76561198077248235,Counter-Strike: Condition Zero Deleted Scenes
76561198077248235,Half-Life: Blue Shift
76561198077248235,Half-Life 2
76561198077248235,Counter-Strike: Source
76561198077248235,Half-Life: Source
76561198077248235,Day of Defeat: Source
76561198077248235,Half-Life 2: Deathmatch
76561198152618007,10
76561198152618007,Team Fortress Classic
76561198152618007,Day of Defeat
76561198152618007,Deathmatch Classic
76561198152618007,Half-Life: Opposing Force
76561198152618007,Ricochet
76561198152618007,Half-Life
76561198152618007,Counter-Strike: Condition Zero
76561198152618007,Counter-Strike: Condition Zero Deleted Scenes
76561198152618007,Half-Life: Blue Shift
76561198152618007,Half-Life 2
76561198152618007,Counter-Strike: Source
76561198152618007,Half-Life: Source
76561198152618007,Day of Defeat: Source
76561198152618007,Half-Life 2: Deathmatch
76561197979911851,10
76561197979911851,Team Fortress Classic
76561197979911851,Day of Defeat
76561197979911851,Deathmatch Classic
76561197979911851,Half-Life: Opposing Force
76561197979911851,Ricochet
76561197979911851,Half-Life
76561197979911851,Counter-Strike: Condition Zero
76561197979911851,Counter-Strike: Condition Zero Deleted Scenes
76561197979911851,Half-Life: Blue Shift
76561197979911851,Half-Life 2
76561197979911851,Counter-Strike: Source
76561197979911851,Half-Life: Source
76561197979911851,Day of Defeat: Source
76561197979911851,Half-Life 2: Deathmatch
76561198119667710,10
76561198119667710,Team Fortress Classic
76561198119667710,Day of Defeat
76561198119667710,Deathmatch Classic
76561198119667710,Half-Life: Opposing Force
76561198119667710,Ricochet
76561198119667710,Half-Life
76561198119667710,Counter-Strike: Condition Zero
76561198119667710,Counter-Strike: Condition Zero Deleted Scenes
76561198119667710,Half-Life: Blue Shift
76561198119667710,Half-Life 2
76561198119667710,Counter-Strike: Source
76561198119667710,Half-Life: Source
76561198119667710,Day of Defeat: Source
76561198119667710,Half-Life 2: Deathmatch
76561198139084236,10
76561198139084236,Team Fortress Classic
76561198139084236,Day of Defeat
76561198139084236,Deathmatch Classic
76561198139084236,Half-Life: Opposing Force
76561198139084236,Ricochet
76561198139084236,Half-Life
76561198139084236,Counter-Strike: Condition Zero
76561198139084236,Counter-Strike: Condition Zero Deleted Scenes
76561198139084236,Half-Life: Blue Shift
76561198139084236,Half-Life 2
76561198139084236,Counter-Strike: Source
76561198139084236,Half-Life: Source
76561198139084236,Day of Defeat: Source
76561198139084236,Half-Life 2: Deathmatch
76561198027214426,10
76561198027214426,Team Fortress Classic
76561198027214426,Day of Defeat
76561198027214426,Deathmatch Classic
76561198027214426,Half-Life: Opposing Force
76561198027214426,Ricochet
76561198027214426,Half-Life
76561198027214426,Counter-Strike: Condition Zero
76561198027214426,Counter-Strike: Condition Zero Deleted Scenes
76561198027214426,Half-Life: Blue Shift
76561198027214426,Half-Life 2
76561198027214426,Counter-Strike: Source
76561198027214426,Half-Life: Source
76561198027214426,Day of Defeat: Source
76561198027214426,Half-Life 2: Deathmatch
76561198281128349,10
76561198281128349,Team Fortress Classic
76561198281128349,Day of Defeat
76561198281128349,Deathmatch Classic
76561198281128349,Half-Life: Opposing Force
76561198281128349,Ricochet
76561198281128349,Half-Life
